c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62
A1223,21,1,1,0,160,70,0,1,0,8,0,1,0,0,0,99,99,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,10,1,2,0,1,1,1,0,0,0,1,1,5,0,1,0,2,1,0
A1224,23,1,1,0,190,78,0,0,0,10,0,1,1,0,0,99,99,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,9,24,0,3,1,1,1,10,0,0,1,1,0,6,0,1,1,2,1,0
A1225,21,1,1,0,160,62,0,0,0,7,0,0,1,0,0,99,99,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,10,7,0,2,0,0,0,6,1,1,1,1,0,0,0,0,0,3,1,1
A1226,21,0,1,0,166,75,0,0,0,8,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,3,6,1,2,0,1,0,2,1,0,1,1,1,5,0,0,0,1,1,0
A1227,21,0,0,1,160,59,1,1,2,8,1,1,1,0,0,1,99,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,3,5,0,3,1,0,0,1,0,0,1,1,1,3,0,1,1,2,1,1
A1228,21,1,1,0,168,65,0,1,2,10,1,1,1,1,1,99,99,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,3,4,0,2,0,1,1,2,0,0,0,1,1,8,0,1,0,1,1,1
A1229,20,1,1,0,170,80,0,1,2,8,1,1,1,1,1,99,99,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,5,8,1,3,1,1,0,3,0,1,1,1,1,0,1,1,1,2,1,0
A1230,21,1,1,0,170,76,0,1,0,8,0,1,0,1,1,99,99,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,2,6,0,3,0,1,0,1,0,0,0,0,0,0,0,1,1,2,0,1
A1231,21,0,1,0,150,42,0,0,2,8,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,5,6,0,3,0,0,1,2,0,0,1,1,1,0,1,1,1,2,1,0
A1232,21,1,1,0,159,65,0,1,2,8,1,1,0,1,1,99,99,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,4,10,1,1,1,1,0,4,0,0,1,0,0,0,0,1,1,3,1,0
A1233,20,1,1,0,166,72,1,1,2,7,1,1,0,0,0,99,99,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,4,0,2,0,1,1,4,0,0,0,1,0,10,1,0,0,2,1,1
A1234,18,0,1,0,150,50,1,1,2,8,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,5,4,1,1,0,0,1,1,0,0,0,0,0,2,0,0,1,2,1,1
A1235,21,0,1,0,163,52,0,0,0,8,0,1,0,0,0,0,99,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,3,4,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,3,1,1
A1236,21,0,1,0,148,58,0,1,2,7,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,2,4,1,2,0,1,0,12,0,0,1,1,1,0,0,1,0,2,1,1
A1237,22,1,1,0,162,55,0,1,2,8,1,1,0,0,0,99,99,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,3,5,0,2,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1
A1238,21,0,1,0,155,58,0,1,2,10,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,8,5,1,2,0,1,0,1,0,0,1,1,1,0,1,0,1,2,1,0
A1239,21,0,1,0,160,55,0,0,2,9,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,3,5,1,2,0,1,0,1,0,0,1,1,1,2,0,1,1,2,1,1
A1240,16,1,1,0,175,73,0,0,2,8,1,1,0,1,1,99,99,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,6,6,0,3,0,1,1,10,0,1,1,0,1,3,0,0,0,2,1,1
A1241,24,1,1,0,180,75,0,0,2,6,1,0,0,0,0,99,99,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,3,4,1,2,0,1,0,3,0,0,1,1,0,0,0,1,1,3,1,1
A1242,21,0,1,0,158,64,0,1,2,7,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,4,3,1,2,0,1,0,2,0,0,0,1,1,0,1,1,0,3,1,1
A1243,18,1,1,0,188,85,0,0,2,6,1,0,1,0,0,99,99,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,3,1,2,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
A1244,21,1,1,0,155,70,0,1,2,9,1,1,0,0,0,99,99,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,3,6,1,2,0,0,1,3,0,0,1,0,1,2,0,1,1,1,1,1
A1245,16,1,1,0,172,52,0,1,2,8,1,1,1,0,0,99,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,5,3,1,1,0,0,1,4,0,1,0,1,0,9,0,0,1,3,1,0
A1246,21,0,1,0,163,52,0,0,0,8,0,1,0,0,0,0,99,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,3,4,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,3,1,1
A1247,20,1,1,0,180,70,0,1,2,10,1,1,0,0,0,99,99,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,6,5,1,2,0,1,1,3,0,0,1,1,1,7,0,0,0,2,1,0
A1248,19,1,1,0,180,103,0,1,2,7,1,1,0,1,1,99,99,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,2,7,0,2,0,1,0,1,0,0,0,1,1,10,0,1,0,1,1,1
A1249,21,1,1,0,179,72,1,1,0,8,0,1,1,0,0,99,99,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,4,5,1,2,0,0,1,2,1,0,1,1,1,0,0,0,1,1,1,0
A1250,21,0,1,0,154,53,0,0,0,7,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,3,6,1,2,0,1,1,1,0,0,1,1,1,2,0,1,0,1,1,0
A1251,20,1,1,0,170,65,1,0,0,8,0,1,1,0,0,99,99,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,3,6,0,1,0,1,0,2,1,1,1,0,0,0,0,1,1,1,1,0
A1252,19,1,1,0,170,70,0,1,0,8,0,0,0,0,0,99,99,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,5,5,1,2,0,1,1,2,0,0,1,0,0,8,0,1,1,2,1,1
A1253,20,1,1,0,170,70,0,1,0,6,0,1,0,1,1,99,99,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,2,2,0,3,1,0,1,1,0,0,0,1,1,2,0,1,1,3,1,1
A1254,19,0,1,0,157,58,0,1,2,7,1,1,1,0,0,1,99,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,3,5,1,2,0,0,0,2,0,1,1,1,1,6,0,0,1,1,1,1
A1255,20,0,1,0,163,49,1,0,2,8,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,2,4,1,2,0,1,0,2,0,0,1,1,1,2,0,0,1,2,1,0
A1256,20,1,1,0,150,55,0,0,2,8,1,1,0,1,1,99,99,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,5,7,1,3,0,0,1,10,0,1,1,0,1,0,1,1,1,1,1,1
A1257,21,1,1,0,145,67,0,0,2,8,1,1,1,0,0,99,99,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,10,10,1,1,0,1,1,2,1,1,1,1,0,0,0,0,1,1,1,1
A1258,19,1,1,0,160,75,0,1,2,8,1,1,0,1,1,99,99,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,5,10,1,3,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1
A1259,20,1,1,0,165,70,0,0,0,5,0,1,1,1,1,99,99,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,3,2,1,2,0,0,1,5,1,1,1,1,1,2,1,1,1,3,1,1
A1260,18,1,1,0,145,56,0,0,0,4,0,1,0,0,0,99,99,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,4,6,1,1,0,1,0,15,0,1,1,1,0,7,0,0,1,2,1,0
A1261,19,1,1,0,149,80,0,1,2,7,1,1,0,1,1,99,99,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,2,10,0,3,0,1,1,0,0,0,0,1,1,0,0,1,1,3,1,1
A1262,19,1,1,0,178,77,0,1,0,8,0,1,0,0,0,99,99,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,4,3,1,1,0,1,1,3,0,0,1,1,0,0,0,1,1,3,1,1
A1263,19,1,1,0,186,55,0,0,2,7,1,1,0,0,0,99,99,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,3,1,3,1,1,1,0,0,1,1,1,1,5,0,1,1,2,1,0
A1264,19,1,1,0,160,55,0,1,2,8,1,1,0,1,1,99,99,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,6,3,1,3,0,0,0,1,0,0,1,1,0,10,1,1,0,1,1,0
A1265,20,1,1,0,170,65,1,1,2,7,1,1,1,0,0,99,99,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,4,5,1,1,0,1,1,2,1,1,1,1,1,1,1,1,0,1,1,0
A1266,19,1,1,0,165,75,0,1,0,7,0,1,1,0,0,99,99,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,4,7,1,2,0,1,1,2,0,0,1,1,0,0,1,0,0,3,1,1
A1267,20,1,1,0,155,70,0,1,2,6,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,6,4,1,1,1,1,1,3,1,1,1,1,1,3,0,1,1,1,1,1
A1268,20,0,1,0,169,56,1,1,2,7,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,3,5,1,1,0,1,0,2,1,0,1,1,1,7,0,1,1,2,1,1
A1269,18,0,1,0,157,52,0,1,0,6,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,4,4,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0
A1270,19,1,1,0,152,57,0,0,2,7,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,7,4,1,1,0,0,1,4,0,0,1,1,1,0,0,1,1,3,1,1
A1271,19,0,1,0,157,53,0,0,0,7,0,1,0,0,0,1,99,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,3,5,1,2,0,1,0,2,0,1,1,1,0,3,1,0,0,3,1,0
A1272,18,0,1,0,155,65,0,1,2,6,1,1,1,1,1,0,99,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,6,7,1,2,1,1,0,8,0,0,0,1,0,2,0,1,1,1,1,1
A1273,19,0,1,0,150,42,0,1,2,8,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,5,7,1,1,0,1,1,3,0,0,1,0,0,2,1,1,1,3,1,0
A1274,19,1,1,0,157,53,0,0,2,8,1,1,1,0,0,99,99,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,2,4,1,2,0,1,0,2,1,1,1,1,1,0,0,0,1,1,1,0
A1275,18,1,1,0,183,95,0,0,0,8,0,1,0,0,0,99,99,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,7,8,0,3,0,1,1,3,0,0,1,1,1,4,0,0,0,2,1,0
A1276,20,1,1,0,159,58,0,0,2,7,1,1,0,0,0,99,99,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,4,4,1,1,0,1,0,4,0,0,1,1,0,0,0,1,1,2,1,1
A1277,20,1,1,0,182,65,1,1,0,6,0,1,1,0,0,99,99,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,3,6,1,1,0,1,1,3,1,1,1,0,0,0,0,0,0,3,1,0
A1278,21,1,1,0,156,82,0,1,2,7,1,1,0,1,1,99,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,5,4,1,1,0,0,1,4,1,0,1,1,0,1,0,1,1,1,1,0
A1279,19,1,1,0,175,70,0,1,2,8,1,1,0,0,0,99,99,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,6,10,1,1,0,1,1,2,0,1,1,1,0,2,0,1,1,1,1,1
A1280,18,1,1,0,170,48,0,1,2,6,1,1,0,0,0,99,99,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,4,7,1,2,0,0,1,1,0,0,1,1,0,2,0,1,1,2,1,1
A1281,22,1,1,0,180,87,0,1,2,6,1,0,1,0,0,99,99,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,4,7,0,2,0,1,1,2,1,1,0,0,0,4,0,1,1,3,1,1
A1282,20,1,1,0,175,70,0,1,2,6,1,1,1,0,0,99,99,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,4,6,1,3,0,1,0,2,1,1,1,1,0,0,1,1,1,1,1,1
A1283,19,1,1,0,171,121,1,0,0,8,0,1,1,0,0,99,99,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,3,8,0,1,0,1,1,7,0,0,1,1,0,0,0,1,1,3,1,0
A1284,18,0,1,0,173,70,1,0,2,8,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,5,10,1,2,0,1,1,3,0,0,0,1,1,0,0,0,0,3,1,0
A1285,18,0,1,0,153,45,0,1,2,7,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,2,4,1,2,0,1,0,1,0,0,1,1,1,0,0,1,1,2,1,1
A1286,19,1,1,0,175,70,0,0,2,8,1,1,1,0,0,99,99,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,4,7,1,2,0,1,1,2,0,0,1,1,0,0,0,0,1,1,1,1
A1287,19,1,1,0,158,75,0,0,2,7,1,1,1,0,0,99,99,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,3,7,1,1,0,1,1,1,0,0,1,0,1,2,1,0,1,2,1,0
A1288,20,1,1,0,158,65,0,0,0,6,0,1,0,0,0,99,99,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,3,3,0,2,0,0,1,3,0,1,1,1,0,0,0,0,1,1,1,1
A1289,19,1,1,0,152,70,0,1,2,8,1,1,0,0,0,99,99,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,4,3,1,2,0,1,1,2,0,0,1,0,1,1,0,0,0,2,1,1
A1290,19,0,1,0,157,48,0,0,2,8,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,3,3,1,1,0,0,1,1,0,0,0,1,1,2,0,1,1,2,1,0
A1291,18,0,1,0,158,39,0,0,0,7,0,1,0,0,0,1,99,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,6,5,0,2,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1
