c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62
A1306,18,1,1,0,156,60,0,0,0,9,0,1,0,0,0,99,99,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,3,3,0,1,0,1,0,2,0,0,1,0,0,1,0,1,0,1,1,1
A1307,18,0,1,0,156,65,0,0,0,5,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,4,6,0,1,0,1,1,2,0,1,1,1,1,0,0,0,1,3,1,1
A1308,20,1,1,0,115,80,0,0,2,10,1,1,0,1,1,99,99,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,10,5,0,2,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1
A1309,18,0,1,0,151,55,0,1,0,8,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,2,4,0,2,1,0,1,3,0,0,0,1,1,10,0,1,1,3,1,0
A1310,19,0,1,0,160,52,0,0,0,7,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,2,5,1,2,0,1,0,2,0,0,1,1,1,0,0,0,0,2,1,0
A1311,21,0,1,0,153,48,0,1,2,6,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,2,3,1,2,0,1,0,5,0,0,1,1,1,2,0,1,1,3,1,1
A1312,19,1,1,0,165,52,1,0,2,8,1,1,1,0,0,99,99,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,3,5,1,2,0,1,1,4,1,1,1,0,0,0,0,1,1,2,1,1
A1313,19,1,1,0,186,73,0,1,2,8,1,1,1,0,0,99,99,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,5,5,1,2,0,0,0,5,0,1,0,1,0,4,1,1,1,2,1,1
A1314,18,1,1,0,185,58,0,0,2,8,1,1,0,1,1,99,99,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,5,0,2,0,1,0,1,0,1,1,1,1,0,1,1,0,2,1,1
A1315,18,1,1,0,160,71,0,0,0,8,0,1,1,0,0,99,99,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,6,7,1,1,0,1,0,8,0,0,1,1,1,2,0,0,1,1,1,1
A1316,20,0,1,0,165,50,0,1,2,6,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,3,10,1,1,0,0,1,2,0,1,1,1,0,3,0,1,0,1,1,0
A1317,19,0,1,0,147,55,0,0,0,7,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,7,5,1,1,0,1,1,5,1,1,0,0,0,0,0,1,1,3,1,1
A1318,20,1,1,0,180,80,1,0,2,7,1,1,1,0,0,99,99,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,4,5,0,1,0,0,1,4,1,1,1,1,0,1,0,0,1,1,1,0
A1319,20,1,1,0,181,70,0,1,2,9,1,1,0,0,0,99,99,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,11,6,0,2,0,1,1,5,0,0,1,1,1,6,0,0,1,3,1,0
A1320,19,0,1,0,165,80,0,0,2,8,1,1,1,0,0,1,99,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,4,5,1,1,0,1,1,1,0,0,1,0,0,4,0,0,0,3,1,0
A1321,19,0,1,0,150,52,0,0,2,7,1,1,0,0,0,1,99,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,2,3,0,1,0,1,0,6,0,0,1,0,0,5,0,1,1,3,1,1
A1322,20,1,1,0,182,65,0,1,0,6,0,1,1,0,0,99,99,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,3,4,1,1,0,1,1,3,1,1,1,0,0,0,0,0,0,3,1,0
A1323,19,1,1,0,168,65,0,0,0,6,0,0,0,0,0,99,99,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,3,10,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,2,1,1
A1324,19,0,1,0,156,70,0,0,2,7,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,2,4,0,1,0,1,0,1,0,0,1,1,0,2,0,1,0,3,1,1
A1325,20,1,1,0,170,58,1,0,0,7,0,1,0,0,0,99,99,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,5,6,1,1,0,1,1,3,0,0,1,0,0,1,0,1,0,3,1,0
A1326,21,1,1,0,145,67,0,0,2,8,1,1,1,0,0,99,99,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,16,10,1,1,0,1,1,2,1,1,1,1,0,0,0,0,1,1,1,1
A1327,18,1,1,0,157,77,0,1,2,7,1,0,0,1,1,99,99,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,4,8,1,1,0,1,1,2,0,1,1,1,1,1,1,0,1,3,1,1
A1328,19,1,1,0,160,80,0,1,2,10,1,1,1,1,1,99,99,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,3,5,0,3,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1
A1329,15,0,1,0,153,60,0,0,0,8,0,1,0,0,0,1,99,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,5,8,1,2,0,0,1,2,0,0,1,1,0,0,1,1,0,3,1,1
A1330,19,1,1,0,115,82,0,1,2,8,1,1,0,0,0,99,99,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,3,5,1,1,0,1,1,1,0,0,1,1,1,2,0,1,1,2,1,1
